Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norsjö A;149560;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2021-01-31 23:59:59;309.576;64.9253;19.3744

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2004-12-01 00:00:01;2005-01-01 00:00:00;2004-12;-5.1;Y
2005-01-01 00:00:01;2005-02-01 00:00:00;2005-01;-6.1;Y
2005-02-01 00:00:01;2005-03-01 00:00:00;2005-02;-8.4;Y
2005-03-01 00:00:01;2005-04-01 00:00:00;2005-03;-7.0;Y
2005-04-01 00:00:01;2005-05-01 00:00:00;2005-04;2.0;Y
2005-05-01 00:00:01;2005-06-01 00:00:00;2005-05;5.4;Y
2005-06-01 00:00:01;2005-07-01 00:00:00;2005-06;11.5;Y
2005-07-01 00:00:01;2005-08-01 00:00:00;2005-07;15.8;Y
2005-08-01 00:00:01;2005-09-01 00:00:00;2005-08;12.7;Y
2005-09-01 00:00:01;2005-10-01 00:00:00;2005-09;8.5;Y
2005-10-01 00:00:01;2005-11-01 00:00:00;2005-10;4.2;Y
2005-11-01 00:00:01;2005-12-01 00:00:00;2005-11;-1.0;Y
2005-12-01 00:00:01;2006-01-01 00:00:00;2005-12;-7.7;Y
2006-01-01 00:00:01;2006-02-01 00:00:00;2006-01;-7.5;Y
2006-02-01 00:00:01;2006-03-01 00:00:00;2006-02;-9.0;Y
2006-03-01 00:00:01;2006-04-01 00:00:00;2006-03;-9.3;Y
2006-04-01 00:00:01;2006-05-01 00:00:00;2006-04;0.7;Y
2006-05-01 00:00:01;2006-06-01 00:00:00;2006-05;7.5;Y
2006-06-01 00:00:01;2006-07-01 00:00:00;2006-06;13.1;Y
2006-07-01 00:00:01;2006-08-01 00:00:00;2006-07;15.7;Y
2006-08-01 00:00:01;2006-09-01 00:00:00;2006-08;16.1;Y
2006-09-01 00:00:01;2006-10-01 00:00:00;2006-09;9.9;Y
2006-10-01 00:00:01;2006-11-01 00:00:00;2006-10;0.8;Y
2006-11-01 00:00:01;2006-12-01 00:00:00;2006-11;-1.6;Y
2006-12-01 00:00:01;2007-01-01 00:00:00;2006-12;-2.1;Y
2007-01-01 00:00:01;2007-02-01 00:00:00;2007-01;-10.1;Y
2007-02-01 00:00:01;2007-03-01 00:00:00;2007-02;-12.2;Y
2007-03-01 00:00:01;2007-04-01 00:00:00;2007-03;-1.5;Y
2007-04-01 00:00:01;2007-05-01 00:00:00;2007-04;2.2;Y
2007-05-01 00:00:01;2007-06-01 00:00:00;2007-05;6.6;Y
2007-06-01 00:00:01;2007-07-01 00:00:00;2007-06;13.0;Y
2007-07-01 00:00:01;2007-08-01 00:00:00;2007-07;14.2;Y
2007-08-01 00:00:01;2007-09-01 00:00:00;2007-08;13.1;Y
2007-09-01 00:00:01;2007-10-01 00:00:00;2007-09;6.5;Y
2007-10-01 00:00:01;2007-11-01 00:00:00;2007-10;3.9;Y
2007-11-01 00:00:01;2007-12-01 00:00:00;2007-11;-4.5;Y
2007-12-01 00:00:01;2008-01-01 00:00:00;2007-12;-3.2;Y
2008-01-01 00:00:01;2008-02-01 00:00:00;2008-01;-5.2;Y
2008-02-01 00:00:01;2008-03-01 00:00:00;2008-02;-4.3;Y
2008-03-01 00:00:01;2008-04-01 00:00:00;2008-03;-5.6;Y
2008-04-01 00:00:01;2008-05-01 00:00:00;2008-04;0.7;Y
2008-05-01 00:00:01;2008-06-01 00:00:00;2008-05;6.5;Y
2008-06-01 00:00:01;2008-07-01 00:00:00;2008-06;11.5;Y
2008-07-01 00:00:01;2008-08-01 00:00:00;2008-07;14.5;Y
2008-08-01 00:00:01;2008-09-01 00:00:00;2008-08;10.6;Y
2008-09-01 00:00:01;2008-10-01 00:00:00;2008-09;6.5;Y
2008-10-01 00:00:01;2008-11-01 00:00:00;2008-10;2.5;Y
2008-11-01 00:00:01;2008-12-01 00:00:00;2008-11;-4.1;Y
2008-12-01 00:00:01;2009-01-01 00:00:00;2008-12;-5.5;Y
2009-01-01 00:00:01;2009-02-01 00:00:00;2009-01;-8.0;Y
2009-02-01 00:00:01;2009-03-01 00:00:00;2009-02;-13.5;Y
2009-03-01 00:00:01;2009-04-01 00:00:00;2009-03;-4.8;Y
2009-04-01 00:00:01;2009-05-01 00:00:00;2009-04;1.0;Y
2009-05-01 00:00:01;2009-06-01 00:00:00;2009-05;8.5;Y
2009-06-01 00:00:01;2009-07-01 00:00:00;2009-06;11.9;Y
2009-07-01 00:00:01;2009-08-01 00:00:00;2009-07;13.7;Y
2009-08-01 00:00:01;2009-09-01 00:00:00;2009-08;13.5;Y
2009-09-01 00:00:01;2009-10-01 00:00:00;2009-09;9.1;Y
2009-10-01 00:00:01;2009-11-01 00:00:00;2009-10;-0.6;Y
2009-11-01 00:00:01;2009-12-01 00:00:00;2009-11;-1.1;Y
2009-12-01 00:00:01;2010-01-01 00:00:00;2009-12;-9.7;Y
2010-01-01 00:00:01;2010-02-01 00:00:00;2010-01;-12.0;Y
2010-02-01 00:00:01;2010-03-01 00:00:00;2010-02;-14.5;Y
2010-03-01 00:00:01;2010-04-01 00:00:00;2010-03;-6.7;Y
2010-04-01 00:00:01;2010-05-01 00:00:00;2010-04;1.0;Y
2010-05-01 00:00:01;2010-06-01 00:00:00;2010-05;7.7;Y
2010-06-01 00:00:01;2010-07-01 00:00:00;2010-06;10.9;Y
2010-07-01 00:00:01;2010-08-01 00:00:00;2010-07;15.8;Y
2010-08-01 00:00:01;2010-09-01 00:00:00;2010-08;12.2;Y
2010-09-01 00:00:01;2010-10-01 00:00:00;2010-09;7.8;Y
2010-10-01 00:00:01;2010-11-01 00:00:00;2010-10;2.1;Y
2010-11-01 00:00:01;2010-12-01 00:00:00;2010-11;-9.3;Y
2010-12-01 00:00:01;2011-01-01 00:00:00;2010-12;-13.6;Y
2011-01-01 00:00:01;2011-02-01 00:00:00;2011-01;-9.3;Y
2011-02-01 00:00:01;2011-03-01 00:00:00;2011-02;-13.4;Y
2011-03-01 00:00:01;2011-04-01 00:00:00;2011-03;-3.7;Y
2011-04-01 00:00:01;2011-05-01 00:00:00;2011-04;4.0;Y
2011-05-01 00:00:01;2011-06-01 00:00:00;2011-05;7.0;Y
2011-06-01 00:00:01;2011-07-01 00:00:00;2011-06;14.1;Y
2011-07-01 00:00:01;2011-08-01 00:00:00;2011-07;16.4;Y
2011-08-01 00:00:01;2011-09-01 00:00:00;2011-08;12.7;Y
2011-09-01 00:00:01;2011-10-01 00:00:00;2011-09;9.6;Y
2011-10-01 00:00:01;2011-11-01 00:00:00;2011-10;3.3;Y
2011-11-01 00:00:01;2011-12-01 00:00:00;2011-11;1.4;Y
2011-12-01 00:00:01;2012-01-01 00:00:00;2011-12;-3.8;Y
2012-01-01 00:00:01;2012-02-01 00:00:00;2012-01;-8.7;Y
2012-02-01 00:00:01;2012-03-01 00:00:00;2012-02;-11.4;Y
2012-03-01 00:00:01;2012-04-01 00:00:00;2012-03;-1.2;Y
2012-04-01 00:00:01;2012-05-01 00:00:00;2012-04;-0.9;Y
2012-05-01 00:00:01;2012-06-01 00:00:00;2012-05;5.7;Y
2012-06-01 00:00:01;2012-07-01 00:00:00;2012-06;9.9;Y
2012-07-01 00:00:01;2012-08-01 00:00:00;2012-07;14.0;Y
2012-08-01 00:00:01;2012-09-01 00:00:00;2012-08;12.2;Y
2012-09-01 00:00:01;2012-10-01 00:00:00;2012-09;6.8;Y
2012-10-01 00:00:01;2012-11-01 00:00:00;2012-10;0.8;Y
2012-11-01 00:00:01;2012-12-01 00:00:00;2012-11;-1.6;Y
2012-12-01 00:00:01;2013-01-01 00:00:00;2012-12;-12.3;Y
2013-01-01 00:00:01;2013-02-01 00:00:00;2013-01;-10.9;Y
2013-02-01 00:00:01;2013-03-01 00:00:00;2013-02;-6.5;Y
2013-03-01 00:00:01;2013-04-01 00:00:00;2013-03;-8.8;Y
2013-04-01 00:00:01;2013-05-01 00:00:00;2013-04;-0.1;Y
2013-05-01 00:00:01;2013-06-01 00:00:00;2013-05;10.0;Y
2013-06-01 00:00:01;2013-07-01 00:00:00;2013-06;13.4;Y
