Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hällum A;83190;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-02-01 00:00:00;2020-12-31 23:59:59;70.071;58.3218;13.0379

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2007-12-01 00:00:01;2008-01-01 00:00:00;2007-12;2.3;Y
2008-01-01 00:00:01;2008-02-01 00:00:00;2008-01;2.4;Y
2008-02-01 00:00:01;2008-03-01 00:00:00;2008-02;2.9;Y
2008-03-01 00:00:01;2008-04-01 00:00:00;2008-03;1.3;Y
2008-04-01 00:00:01;2008-05-01 00:00:00;2008-04;7.0;Y
2008-05-01 00:00:01;2008-06-01 00:00:00;2008-05;12.1;Y
2008-07-01 00:00:01;2008-08-01 00:00:00;2008-07;17.4;Y
2008-08-01 00:00:01;2008-09-01 00:00:00;2008-08;15.1;Y
2008-09-01 00:00:01;2008-10-01 00:00:00;2008-09;11.1;Y
2008-10-01 00:00:01;2008-11-01 00:00:00;2008-10;7.8;Y
2008-11-01 00:00:01;2008-12-01 00:00:00;2008-11;3.1;Y
2008-12-01 00:00:01;2009-01-01 00:00:00;2008-12;0.4;Y
2009-01-01 00:00:01;2009-02-01 00:00:00;2009-01;-1.0;Y
2009-02-01 00:00:01;2009-03-01 00:00:00;2009-02;-3.2;Y
2009-03-01 00:00:01;2009-04-01 00:00:00;2009-03;1.6;Y
2009-04-01 00:00:01;2009-05-01 00:00:00;2009-04;8.9;Y
2009-05-01 00:00:01;2009-06-01 00:00:00;2009-05;11.0;Y
2009-06-01 00:00:01;2009-07-01 00:00:00;2009-06;14.1;Y
2009-07-01 00:00:01;2009-08-01 00:00:00;2009-07;16.8;Y
2009-08-01 00:00:01;2009-09-01 00:00:00;2009-08;16.1;Y
2009-09-01 00:00:01;2009-10-01 00:00:00;2009-09;12.6;Y
2009-10-01 00:00:01;2009-11-01 00:00:00;2009-10;4.9;Y
2009-11-01 00:00:01;2009-12-01 00:00:00;2009-11;5.0;Y
2009-12-01 00:00:01;2010-01-01 00:00:00;2009-12;-2.8;Y
2010-01-01 00:00:01;2010-02-01 00:00:00;2010-01;-8.4;Y
2010-02-01 00:00:01;2010-03-01 00:00:00;2010-02;-6.9;Y
2010-03-01 00:00:01;2010-04-01 00:00:00;2010-03;-1.9;Y
2010-04-01 00:00:01;2010-05-01 00:00:00;2010-04;6.2;Y
2010-05-01 00:00:01;2010-06-01 00:00:00;2010-05;10.0;Y
2010-06-01 00:00:01;2010-07-01 00:00:00;2010-06;14.0;Y
2010-07-01 00:00:01;2010-08-01 00:00:00;2010-07;18.0;Y
2010-08-01 00:00:01;2010-09-01 00:00:00;2010-08;15.8;Y
2010-09-01 00:00:01;2010-10-01 00:00:00;2010-09;11.1;Y
2010-10-01 00:00:01;2010-11-01 00:00:00;2010-10;5.7;Y
2010-11-01 00:00:01;2010-12-01 00:00:00;2010-11;-0.2;Y
2010-12-01 00:00:01;2011-01-01 00:00:00;2010-12;-8.6;Y
2011-01-01 00:00:01;2011-02-01 00:00:00;2011-01;-2.3;Y
2011-02-01 00:00:01;2011-03-01 00:00:00;2011-02;-3.6;Y
2011-03-01 00:00:01;2011-04-01 00:00:00;2011-03;1.3;Y
2011-04-01 00:00:01;2011-05-01 00:00:00;2011-04;9.5;Y
2011-05-01 00:00:01;2011-06-01 00:00:00;2011-05;10.9;Y
2011-06-01 00:00:01;2011-07-01 00:00:00;2011-06;15.5;Y
2011-07-01 00:00:01;2011-08-01 00:00:00;2011-07;17.4;Y
2011-08-01 00:00:01;2011-09-01 00:00:00;2011-08;15.5;Y
2011-09-01 00:00:01;2011-10-01 00:00:00;2011-09;13.1;Y
2011-10-01 00:00:01;2011-11-01 00:00:00;2011-10;7.8;Y
2011-11-01 00:00:01;2011-12-01 00:00:00;2011-11;5.4;Y
2011-12-01 00:00:01;2012-01-01 00:00:00;2011-12;2.4;Y
2012-01-01 00:00:01;2012-02-01 00:00:00;2012-01;-0.8;Y
2012-02-01 00:00:01;2012-03-01 00:00:00;2012-02;-2.5;Y
2012-03-01 00:00:01;2012-04-01 00:00:00;2012-03;4.7;Y
2012-04-01 00:00:01;2012-05-01 00:00:00;2012-04;4.8;Y
2012-05-01 00:00:01;2012-06-01 00:00:00;2012-05;11.8;Y
2012-06-01 00:00:01;2012-07-01 00:00:00;2012-06;12.7;Y
2012-07-01 00:00:01;2012-08-01 00:00:00;2012-07;15.9;Y
2012-08-01 00:00:01;2012-09-01 00:00:00;2012-08;15.3;Y
2012-09-01 00:00:01;2012-10-01 00:00:00;2012-09;11.7;Y
2012-10-01 00:00:01;2012-11-01 00:00:00;2012-10;6.4;Y
2012-11-01 00:00:01;2012-12-01 00:00:00;2012-11;4.5;Y
2012-12-01 00:00:01;2013-01-01 00:00:00;2012-12;-4.9;Y
2013-01-01 00:00:01;2013-02-01 00:00:00;2013-01;-2.5;Y
2013-02-01 00:00:01;2013-03-01 00:00:00;2013-02;-3.2;Y
2013-03-01 00:00:01;2013-04-01 00:00:00;2013-03;-3.0;Y
2013-04-01 00:00:01;2013-05-01 00:00:00;2013-04;4.3;Y
2013-05-01 00:00:01;2013-06-01 00:00:00;2013-05;12.7;Y
2013-06-01 00:00:01;2013-07-01 00:00:00;2013-06;14.7;Y
2013-07-01 00:00:01;2013-08-01 00:00:00;2013-07;17.0;Y
2013-08-01 00:00:01;2013-09-01 00:00:00;2013-08;15.9;Y
2013-09-01 00:00:01;2013-10-01 00:00:00;2013-09;11.7;Y
2013-10-01 00:00:01;2013-11-01 00:00:00;2013-10;8.3;Y
