Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Mora A;104580;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1959-03-01 00:00:01;1959-04-01 00:00:00;1959-03;-0.3;Y
1959-04-01 00:00:01;1959-05-01 00:00:00;1959-04;4.0;Y
1959-05-01 00:00:01;1959-06-01 00:00:00;1959-05;9.3;Y
1959-06-01 00:00:01;1959-07-01 00:00:00;1959-06;13.8;Y
1959-07-01 00:00:01;1959-08-01 00:00:00;1959-07;16.6;Y
1959-08-01 00:00:01;1959-09-01 00:00:00;1959-08;15.2;Y
1959-09-01 00:00:01;1959-10-01 00:00:00;1959-09;9.3;Y
1959-10-01 00:00:01;1959-11-01 00:00:00;1959-10;3.5;Y
1959-11-01 00:00:01;1959-12-01 00:00:00;1959-11;1.3;Y
1959-12-01 00:00:01;1960-01-01 00:00:00;1959-12;-3.0;Y
1960-01-01 00:00:01;1960-02-01 00:00:00;1960-01;-8.6;Y
1960-02-01 00:00:01;1960-03-01 00:00:00;1960-02;-11.7;Y
1960-03-01 00:00:01;1960-04-01 00:00:00;1960-03;-2.6;Y
1960-04-01 00:00:01;1960-05-01 00:00:00;1960-04;2.7;Y
1960-05-01 00:00:01;1960-06-01 00:00:00;1960-05;10.2;Y
1960-06-01 00:00:01;1960-07-01 00:00:00;1960-06;14.8;Y
1960-07-01 00:00:01;1960-08-01 00:00:00;1960-07;14.4;Y
1960-08-01 00:00:01;1960-09-01 00:00:00;1960-08;13.3;Y
1960-09-01 00:00:01;1960-10-01 00:00:00;1960-09;9.2;Y
1960-10-01 00:00:01;1960-11-01 00:00:00;1960-10;1.9;Y
1960-11-01 00:00:01;1960-12-01 00:00:00;1960-11;-0.3;Y
1960-12-01 00:00:01;1961-01-01 00:00:00;1960-12;-3.5;Y
1961-01-01 00:00:01;1961-02-01 00:00:00;1961-01;-9.7;Y
1961-02-01 00:00:01;1961-03-01 00:00:00;1961-02;-4.1;Y
1961-03-01 00:00:01;1961-04-01 00:00:00;1961-03;1.8;Y
1961-04-01 00:00:01;1961-05-01 00:00:00;1961-04;3.0;Y
1961-05-01 00:00:01;1961-06-01 00:00:00;1961-05;9.0;Y
1961-06-01 00:00:01;1961-07-01 00:00:00;1961-06;14.6;Y
1961-07-01 00:00:01;1961-08-01 00:00:00;1961-07;14.3;Y
1961-08-01 00:00:01;1961-09-01 00:00:00;1961-08;12.3;Y
1961-09-01 00:00:01;1961-10-01 00:00:00;1961-09;10.0;Y
1961-10-01 00:00:01;1961-11-01 00:00:00;1961-10;8.5;Y
1961-11-01 00:00:01;1961-12-01 00:00:00;1961-11;0.2;Y
1961-12-01 00:00:01;1962-01-01 00:00:00;1961-12;-10.1;Y
1962-01-01 00:00:01;1962-02-01 00:00:00;1962-01;-6.5;Y
1962-02-01 00:00:01;1962-03-01 00:00:00;1962-02;-5.2;Y
1962-03-01 00:00:01;1962-04-01 00:00:00;1962-03;-8.3;Y
1962-04-01 00:00:01;1962-05-01 00:00:00;1962-04;2.7;Y
1962-05-01 00:00:01;1962-06-01 00:00:00;1962-05;6.7;Y
1962-06-01 00:00:01;1962-07-01 00:00:00;1962-06;11.9;Y
1962-07-01 00:00:01;1962-08-01 00:00:00;1962-07;12.9;Y
1962-08-01 00:00:01;1962-09-01 00:00:00;1962-08;11.5;Y
1962-09-01 00:00:01;1962-10-01 00:00:00;1962-09;8.2;G
1962-10-01 00:00:01;1962-11-01 00:00:00;1962-10;5.3;Y
1962-11-01 00:00:01;1962-12-01 00:00:00;1962-11;-3.1;Y
1962-12-01 00:00:01;1963-01-01 00:00:00;1962-12;-10.7;Y
1963-01-01 00:00:01;1963-02-01 00:00:00;1963-01;-13.3;Y
1963-02-01 00:00:01;1963-03-01 00:00:00;1963-02;-14.3;Y
1963-03-01 00:00:01;1963-04-01 00:00:00;1963-03;-6.5;Y
1963-04-01 00:00:01;1963-05-01 00:00:00;1963-04;2.9;Y
1963-05-01 00:00:01;1963-06-01 00:00:00;1963-05;10.5;Y
1963-06-01 00:00:01;1963-07-01 00:00:00;1963-06;13.8;Y
1963-07-01 00:00:01;1963-08-01 00:00:00;1963-07;14.8;Y
1963-08-01 00:00:01;1963-09-01 00:00:00;1963-08;14.2;Y
1963-09-01 00:00:01;1963-10-01 00:00:00;1963-09;9.8;Y
1963-10-01 00:00:01;1963-11-01 00:00:00;1963-10;5.1;Y
1963-11-01 00:00:01;1963-12-01 00:00:00;1963-11;-1.8;Y
1963-12-01 00:00:01;1964-01-01 00:00:00;1963-12;-5.5;Y
